"","name","government_ID","id","category","total_liabilities","bonds_outstanding","current_liabilities","leases","loans_outstanding","notes_outstanding","net_pension_liability","net_pension_assets","net_opeb_liability","net_opeb_assets","compensated_absences","charges_for_services","operating_grants","capital_grants","general_revenue","change_in_net_position","expenses","total_operating_revenues","non_operating_revenues","capital_contributions","revenues","has_unconfirmed","geo_id","city_town","state.name","population","state.abb","original_name","CITY","COUNTY_AREA_NAME"
"3415","Sparta","14207901200000",65539,"General Purpose",29287274,10956956,2215524,0,14096156,200000,1061024,0,246636,0,510978,2299811,64104,608137,6130323,1167640,7934735,0,0,0,9102375,FALSE,"1600000US1771448","Sparta city","Illinois",4095,"IL","CITY OF SPARTA","SPARTA","RANDOLPH"
"3416","North Muskegon","23206100600000",80003,"General Purpose",7910722,2700000,1257878,0,0,0,2088848,0,1766711,0,94764,2281348,612410,0,2675893,477749,5091902,0,0,0,5569651,FALSE,"1600000US2658640","North Muskegon city","Michigan",4093,"MI","CITY OF NORTH MUSKEGON","NORTH MUSKEGON","MUSKEGON"
"3417","Kildeer","14204950700000",92496,"General Purpose",9637573,1340000,408267,0,95000,0,7789794,0,0,0,4512,770495,205645,0,4110124,-805719,5891983,0,0,0,5086264,FALSE,"1600000US1739883","Kildeer village","Illinois",4091,"IL","VILLAGE OF KILDEER","KILDEER","LAKE"
"3418","Lathrup","23206301500000",79425,"General Purpose",11032392,857142,864097,0,41059,0,2030260,0,6999337,0,240497,2339546,536046,311565,3693527,-1263510,8144194,0,0,0,6880684,FALSE,"1600000US2646320","Lathrup Village city","Michigan",4088,"MI","CITY OF LATHRUP VILLAGE","LATHRUP VILLAGE","OAKLAND"
"3419","Morrison","14209800700000",73111,"General Purpose",17487817,1790000,141236,0,14525832,331902,597847,0,0,0,101000,2725365,28025,70087,2532885,605702,4750660,0,0,0,5356362,FALSE,"1600000US1750530","Morrison city","Illinois",4085,"IL","CITY OF MORRISON","MORRISON","WHITESIDE"
"3420","Jasper","11211200100000",90312,"General Purpose",10307227,3617000,1068879,949906,0,1734239,2694769,0,0,0,242434,5339742,314015,1218010,4384682,320728,10935721,0,0,0,11256449,FALSE,"1600000US1341932","Jasper city","Georgia",4084,"GA","CITY OF JASPER","JASPER","PICKENS"
"3421","Marine City","23207400400000",104108,"General Purpose",8784155,900000,205445,244084,280000,0,3269796,0,3783815,0,101015,2541653,536023,80809,2203545,38740,5323290,1706697,724283,0,5362030,FALSE,"1600000US2651600","Marine City city","Michigan",4079,"MI","CITY OF MARINE CITY","MARINE CITY","ST CLAIR"
"3422","Millstadt","14208201600000",92664,"General Purpose",5423517,0,306771,0,4426241,328339,271511,0,0,0,90655,2191268,112778,0,2400029,246756,4457319,0,0,0,4704075,FALSE,"1600000US1749386","Millstadt village","Illinois",4071,"IL","VILLAGE OF MILLSTADT","MILLSTADT","ST CLAIR"
"3423","Morgan","45201500100000",88582,"General Purpose",5052559,3293000,695757,0,0,0,290513,0,0,0,135256,4941903,332138,766624,1697486,2258419,5479732,0,0,0,7738151,FALSE,"1600000US4951910","Morgan city","Utah",4071,"UT","CITY OF MORGAN","MORGAN","MORGAN"
"3424","St. Bernard","36203102800000",98418,"General Purpose",33179221,16358082,236015,0,436305,0,11581259,0,3106182,0,918623,901747,791639,0,12109743,2476785,11326344,0,0,0,13803129,FALSE,"1600000US3969470","St. Bernard village","Ohio",4070,"OH","VILLAGE OF ST BERNARD","SAINT BERNARD","HAMILTON"
"3425","Indian Head Park","14201651000000",111797,"General Purpose",4427783,1790000,468653,0,555655,0,1110328,0,468662,0,4485,2036618,140558,1500000,3202614,2464386,4415404,0,0,0,6879790,FALSE,"1600000US1737257","Indian Head Park village","Illinois",4065,"IL","VILLAGE OF INDIAN HEAD PARK","INDIAN HEAD PARK","COOK"
"3426","Plain","36204900400000",125216,"General Purpose",0,6860000,0,0,1862558,1450000,0,0,0,0,0,3026990,709977,0,4494441,-758156,8989564,0,0,0,8231408,FALSE,"1600000US3963030","Plain City village","Ohio",4065,"OH","VILLAGE OF PLAIN CITY","PLAIN CITY","MADISON"
"3427","Austin","15207280100000",112876,"General Purpose",0,0,0,0,0,0,0,0,0,0,0,0,0,0,7985517,-83185,8068702,0,0,0,7985517,FALSE,"1600000US1802800","Austin city","Indiana",4064,"IN","CITY OF AUSTIN","AUSTIN","SCOTT"
"3428","Wellsville","45200301900000",88642,"General Purpose",613375,263000,239050,0,0,0,111325,0,0,0,0,1978147,26579,294494,1020619,791527,2528312,0,0,0,3319839,FALSE,"1600000US4982620","Wellsville city","Utah",4060,"UT","CITY OF WELLSVILLE","WELLSVILLE","CACHE"
"3429","Rock Valley","16208401200000",114097,"General Purpose",0,0,0,309808,0,18469281,608668,0,0,0,0,2858780,604964,404579,8293543,-95332,12257198,0,0,0,12161866,FALSE,"1600000US1968205","Rock Valley city","Iowa",4059,"IA","CITY OF ROCK VALLEY","ROCK VALLEY","SIOUX"
"3430","Burnham","14201601300000",96679,"General Purpose",11115405,0,276824,0,0,0,10792175,0,0,0,46406,1483792,296374,0,3728897,-630329,6139392,0,0,0,5509063,FALSE,"1600000US1709798","Burnham village","Illinois",4046,"IL","VILLAGE OF BURNHAM","BURNHAM","COOK"
"3431","Monticello","16205300400000",33327,"General Purpose",0,4130000,0,0,0,0,515442,0,0,0,67000,2306681,690444,173240,3270565,-1385319,7826249,0,0,0,6440930,FALSE,"1600000US1953625","Monticello city","Iowa",4040,"IA","CITY OF MONTICELLO","MONTICELLO","JONES"
"3432","Dwight","14205300500000",96779,"General Purpose",8768187,6660000,38785,0,2069402,0,516911,0,0,0,0,3116234,14179,57250,3517435,239757,6465341,1901824,69146,0,6705098,FALSE,"1600000US1721358","Dwight village","Illinois",4032,"IL","VILLAGE OF DWIGHT","DWIGHT","LIVINGSTON"
"3433","Vidalia","19201500300000",100353,"General Purpose",20031798,6392753,3159972,847310,0,0,9018655,0,0,0,613108,14827046,438449,1658834,18665900,3411679,32178550,0,0,0,35590229,FALSE,"1600000US2278470","Vidalia town","Louisiana",4027,"LA","TOWN OF VIDALIA","VIDALIA","CONCORDIA"
"3434","Coquille","38200600300000",85401,"General Purpose",12817410,2180034,435487,0,0,6725961,3279935,0,91562,0,104431,3242070,98596,0,3945211,298883,6986994,0,0,0,7285877,FALSE,"1600000US4115350","Coquille city","Oregon",4015,"OR","CITY OF COQUILLE","COQUILLE","COOS"
"3435","Barnesville","36200700100000",98199,"General Purpose",0,0,0,0,1599423,0,0,0,0,0,0,588094,0,0,5064212,-77023,5729329,0,0,0,5652306,FALSE,"1600000US3903926","Barnesville village","Ohio",4008,"OH","VILLAGE OF BARNESVILLE","BARNESVILLE","BELMONT"
"3436","Belleville","23208200200000",77730,"General Purpose",7679886,1130494,186448,4594,581040,0,3762382,0,1924588,0,90340,1871966,664203,0,2184806,1991160,2729815,0,0,0,4720975,FALSE,"1600000US2607020","Belleville city","Michigan",4008,"MI","CITY OF BELLEVILLE","BELLEVILLE","WAYNE"
"3437","Smithton","14208202400000",93048,"General Purpose",3839179,0,32600,0,0,3806579,0,0,0,0,0,1606938,675,24511,1694278,-292413,3618815,0,0,0,3326402,FALSE,"1600000US1770252","Smithton village","Illinois",4006,"IL","VILLAGE OF SMITHTON","SMITHTON","ST CLAIR"
"3438","Amite","19205300100000",74938,"General Purpose",6144032,4145328,403898,117468,0,150000,1215146,0,0,0,112192,1916499,397819,17790,4562038,244865,6649281,0,0,0,6894146,FALSE,"1600000US2201885","Amite City town","Louisiana",4005,"LA","TOWN OF AMITE CITY","AMITE","TANGIPAHOA"
"3439","Dupo","14208200600000",96777,"General Purpose",4262157,2406933,430493,0,0,1192487,72684,180137,0,0,159560,2977362,404787,0,3151784,-437637,6971570,0,0,0,6533933,FALSE,"1600000US1721254","Dupo village","Illinois",3996,"IL","VILLAGE OF DUPO","DUPO","ST CLAIR"
"3440","Taylor","03200980100000",110892,"General Purpose",7028395,0,806545,311237,4092696,0,1685025,0,7830,3161,66226,2376290,1417330,1170088,3775317,2249855,6489169,0,0,0,8739025,FALSE,"1600000US0472420","Taylor town","Arizona",3995,"AZ","TOWN OF TAYLOR","TAYLOR","NAVAJO"
"3441","Jackson","19201900200000",95157,"General Purpose",2042231,497249,145908,0,0,108520,1276407,0,0,0,14147,1083989,180126,57000,723816,-18436,2063367,0,0,0,2044931,FALSE,"1600000US2237830","Jackson town","Louisiana",3990,"LA","TOWN OF JACKSON","JACKSON","EAST FELICIANA"
"3442","Fenton","26209503100000",54522,"General Purpose",571803,0,509447,0,0,0,0,1013409,0,0,62356,633054,815014,1454134,9983014,2663568,10221648,0,0,0,12885216,FALSE,"1600000US2923950","Fenton city","Missouri",3989,"MO","CITY OF FENTON","FENTON","ST LOUIS"
"3443","Cozad","28202400100000",108785,"General Purpose",2400836,420000,828907,0,0,1092917,0,0,0,0,0,6837915,0,427889,2661737,-1016216,10943757,0,0,0,9927541,FALSE,"1600000US3111020","Cozad city","Nebraska",3988,"NE","CITY OF COZAD","COZAD","DAWSON"
"3444","Valdez","02202000200000",45872,"General Purpose",67843905,29777889,12563375,0,492485,0,19269640,0,39059,1631199,2229198,20971885,5104164,137110,83066245,29160861,80118543,0,0,0,109279404,FALSE,"1600000US0282200","Valdez city","Alaska",3985,"AK","CITY OF VALDEZ","VALDEZ","VALDEZ-CORDOVA CENSUS AREA"
"3445","Basalt","06201900100000",91971,"General Purpose",5176660,1529000,1162495,159916,133842,0,0,58998,0,0,181407,2276018,700064,973456,11791013,5489349,10251202,0,0,0,15740551,FALSE,"1600000US0804935","Basalt town","Colorado",3984,"CO","TOWN OF BASALT","BASALT","EAGLE"
"3446","Mary Esther","10204600500000",69635,"General Purpose",1206957,0,847967,0,60000,0,0,0,164435,0,134555,2846577,567713,182930,3575738,1387809,5785149,0,0,0,7172958,FALSE,"1600000US1243375","Mary Esther city","Florida",3982,"FL","CITY OF MARY ESTHER","MARY ESTHER","OKALOOSA"
"3447","Hawkinsville","11211600100000",70857,"General Purpose",4037679,0,983167,84602,0,2088899,732491,0,0,0,82465,6697747,109367,1396993,2407631,1428811,9182927,0,0,0,10611738,FALSE,"1600000US1337396","Hawkinsville city","Georgia",3980,"GA","CITY OF HAWKINSVILLE","HAWKINSVILLE","PULASKI"
"3448","Spencer","37205501700000",125839,"General Purpose",6161667,5401570,547128,100000,0,0,699935,196879,0,0,0,1295038,4642,55000,1245338,150923,2449095,0,0,0,2600018,FALSE,"1600000US4069200","Spencer city","Oklahoma",3978,"OK","CITY OF SPENCER","SPENCER","OKLAHOMA"
"3449","Tiptonville","43204800200000",88014,"General Purpose",2615986,2314592,128428,0,0,134000,0,0,0,0,38966,1710505,179623,204905,1095995,171863,3019165,0,0,0,3191028,FALSE,"1600000US4774540","Tiptonville town","Tennessee",3976,"TN","TOWN OF TIPTONVILLE","TIPTONVILLE","LAKE"
"3450","Wonder Lake","14205690300000",93260,"General Purpose",5441977,2508325,1086117,0,1286193,561342,0,0,0,0,0,1082689,4480,0,1477039,390345,2173863,0,0,0,2564208,FALSE,"1600000US1782855","Wonder Lake village","Illinois",3973,"IL","VILLAGE OF WONDER LAKE","WONDER LAKE","MCHENRY"
"3451","Fairbury","28204800400000",109109,"General Purpose",7449027,5920000,1150350,378677,0,0,0,0,0,0,0,12344390,106549,30000,4481272,2080789,14881422,0,0,0,16962211,FALSE,"1600000US3116410","Fairbury city","Nebraska",3970,"NE","CITY OF FAIRBURY","FAIRBURY","JEFFERSON"
"3452","Benson","34205100100000",50493,"General Purpose",9522154,861000,714636,492948,0,5548611,1560452,0,388217,0,141165,8372964,596192,1517795,3500241,-126588,14113780,0,0,0,13987192,FALSE,"1600000US3705040","Benson town","North Carolina",3967,"NC","TOWN OF BENSON","BENSON","JOHNSTON"
"3453","South Haven","23208001000000",42250,"General Purpose",62041845,44662713,7913400,0,0,0,6353249,0,2342279,0,770204,27694610,1683035,2767431,6915660,-495589,39556325,0,0,0,39060736,FALSE,"1600000US2674980","South Haven city","Michigan",3964,"MI","CITY OF SOUTH HAVEN","SOUTH HAVEN","VAN BUREN"
"3454","Algood","43207100100000",87766,"General Purpose",1728437,0,264249,0,1185131,0,0,0,0,0,279057,2154482,185100,0,3241729,509546,5071765,0,0,0,5581311,FALSE,"1600000US4700640","Algood city","Tennessee",3963,"TN","CITY OF ALGOOD","ALGOOD","PUTNAM"
"3455","Stanley","34203601000000",58464,"General Purpose",8345681,270000,518316,128846,6056032,0,1036908,0,177855,0,157724,3180366,146202,3405229,3077244,853984,8955057,0,0,0,9809041,FALSE,"1600000US3764500","Stanley town","North Carolina",3963,"NC","TOWN OF STANLEY","STANLEY","GASTON"
"3456","Ball","19204090200000",75047,"General Purpose",3319402,0,448348,229934,0,0,2606844,0,0,0,34276,1650389,33669,99780,1558456,-622389,3964683,0,0,0,3342294,FALSE,"1600000US2204055","Ball town","Louisiana",3961,"LA","TOWN OF BALL","BALL","RAPIDES"
"3457","Camdenton","26201500100000",57501,"General Purpose",4587909,100000,1436599,0,0,0,2264242,0,0,0,147068,1311122,118585,3128004,4296587,3522244,5332054,0,0,0,8854298,FALSE,"1600000US2910810","Camdenton city","Missouri",3960,"MO","CITY OF CAMDENTON","CAMDENTON","CAMDEN"
"3458","Del Mar","05203750100000",67227,"General Purpose",44004702,0,4979992,0,0,21996312,12923752,0,0,0,609940,11610334,467683,955619,15317941,-1428348,29779925,0,0,0,28351577,FALSE,"1600000US0618506","Del Mar city","California",3954,"CA","CITY OF DEL MAR","DEL MAR","SAN DIEGO"
"3459","Rosemont","14201608600000",92962,"General Purpose",651529458,385262819,20624663,0,0,0,9277452,4400793,225809623,0,1059658,27165789,1885274,783911,75172679,-34163348,139171001,5849461,5810,0,105007653,FALSE,"1600000US1765819","Rosemont village","Illinois",3952,"IL","VILLAGE OF ROSEMONT","ROSEMONT","COOK"
"3460","Marshall","14201200200000",111774,"General Purpose",5876238,279800,1088803,0,0,0,480504,0,3636197,0,384038,11446059,168588,105397,2470227,914378,13275893,0,0,0,14190271,FALSE,"1600000US1747163","Marshall city","Illinois",3947,"IL","CITY OF MARSHALL","MARSHALL","CLARK"
"3461","Montpelier","36208600600000",98345,"General Purpose",0,42000,0,588945,7024646,0,0,0,0,0,0,10049725,947298,1127,5376543,1399586,14975107,0,0,0,16374693,FALSE,"1600000US3951772","Montpelier village","Ohio",3942,"OH","VILLAGE OF MONTPELIER","MONTPELIER","WILLIAMS"
"3462","Oaklyn Borough","31200402200000",121580,"General Purpose",13278946,8892500,0,76997,59565,0,6734842,0,7036932,0,252957,0,0,0,14355034,457159,13897875,0,0,0,14355034,FALSE,"1600000US3453880","Oaklyn borough","New Jersey",3930,"NJ","BOROUGH OF OAKLYN","OAKLYN","CAMDEN"
"3463","Smithville","44201100300000",38653,"General Purpose",10992400,6524919,1156554,2419774,0,0,562384,0,222291,0,106478,8030304,363910,2473396,2923211,2725809,11065012,6809646,119596,0,13790821,FALSE,"1600000US4868456","Smithville city","Texas",3922,"TX","CITY OF SMITHVILLE","SMITHVILLE","BASTROP"
"3464","Madill","37204800300000",125781,"General Purpose",1248464,3900,150100,439958,0,853126,0,0,0,0,0,1862668,159095,0,3607686,83855,5545594,161536803,188555,0,161725358,FALSE,"1600000US4045750","Madill city","Oklahoma",3914,"OK","CITY OF MADILL","MADILL","MARSHALL"
"3465","Coleman","44204200100000",129606,"General Purpose",18002436,12780661,1528688,350673,0,1516873,1695264,0,0,0,86141,8317780,214395,74242,2331543,710587,10227373,0,0,0,10937960,FALSE,"1600000US4815916","Coleman city","Texas",3912,"TX","CITY OF COLEMAN","COLEMAN","COLEMAN"
"3466","Colonial Beach","47209700100000",43641,"General Purpose",22736187,20066139,2004072,352187,0,0,0,1210285,151336,0,162453,3506513,848603,315369,6368893,961514,10077864,0,0,0,11039378,FALSE,"1600000US5118400","Colonial Beach town","Virginia",3908,"VA","TOWN OF COLONIAL BEACH","COLONIAL BEACH","WESTMORELAND"
"3467","Livingston","43206700100000",65711,"General Purpose",16094361,8375233,653092,0,0,7015075,0,991095,0,0,50961,6137771,481356,628625,3601301,1383277,9465776,4243569,954,51464,10849053,FALSE,"1600000US4743140","Livingston town","Tennessee",3905,"TN","TOWN OF LIVINGSTON","LIVINGSTON","OVERTON"
"3468","Metamora","14210200500000",92651,"General Purpose",3217206,0,18490,0,1675497,1500000,0,0,0,0,0,1547959,55778,0,2107776,465407,3246106,0,0,0,3711513,FALSE,"1600000US1748606","Metamora village","Illinois",3904,"IL","VILLAGE OF METAMORA","METAMORA","WOODFORD"
"3469","Lancaster","18204000100000",115905,"General Purpose",13318372,3625666,1010183,0,586397,3734616,3490280,0,871230,0,0,2881552,321189,0,1458644,-1011445,5672830,0,0,0,4661385,FALSE,"1600000US2143840","Lancaster city","Kentucky",3899,"KY","CITY OF LANCASTER","LANCASTER","GARRARD"
"3470","Madeira Beach","10205201200000",69592,"General Purpose",30619347,24193908,2709405,187107,0,0,3058227,0,44668,0,426032,9337423,843061,494602,6959418,1355987,16278517,0,0,0,17634504,FALSE,"1600000US1242400","Madeira Beach city","Florida",3895,"FL","CITY OF MADEIRA BEACH","MADEIRA BEACH","PINELLAS"
"3471","Carrollton","18202100100000",96859,"General Purpose",20083418,0,2883701,7488,0,5085530,8477562,0,2027512,0,134982,31985504,416970,1534372,3302718,970488,36269076,0,0,0,37239564,FALSE,"1600000US2113024","Carrollton city","Kentucky",3890,"KY","CITY OF CARROLLTON","CARROLLTON","CARROLL"
"3472","Cresco","16204500200000",113752,"General Purpose",0,0,0,0,0,334000,803569,0,0,0,438868,2882810,747480,0,2820948,-135154,6586392,0,0,0,6451238,FALSE,"1600000US1917220","Cresco city","Iowa",3888,"IA","CITY OF CRESCO","CRESCO","HOWARD"
"3473","Coal Valley","14208100300000",96728,"General Purpose",1063427,340000,227861,0,0,45312,379425,0,66808,0,4021,1863879,0,215301,1888371,988962,2978589,1772178,11139,127821,3967551,FALSE,"1600000US1715235","Coal Valley village","Illinois",3873,"IL","VILLAGE OF COAL VALLEY","COAL VALLEY","ROCK ISLAND"
"3474","Nichols Hills","37205501400000",125836,"General Purpose",39136318,32721918,1342261,0,17812,0,3778107,652280,718031,0,515639,5922759,532520,1132,10347414,1190858,15612967,4365094,46437,2032111,16803825,FALSE,"1600000US4051800","Nichols Hills city","Oklahoma",3870,"OK","CITY OF NICHOLS HILLS","NICHOLS HILLS","OKLAHOMA"
"3475","Bellaire","36200700200000",98201,"General Purpose",2789129,0,0,195150,111377,0,228604,0,0,0,0,2178298,996795,0,1286360,442844,4018609,0,0,0,4461453,FALSE,"1600000US3905074","Bellaire village","Ohio",3870,"OH","VILLAGE OF BELLAIRE","BELLAIRE","BELMONT"
"3476","Surf City","34207150100000",109849,"General Purpose",15463583,3489000,3237159,245911,0,0,2184674,0,0,0,349503,7807361,2420424,0,14000903,1715177,22513511,0,0,0,24228688,FALSE,"1600000US3766040","Surf City town","North Carolina",3867,"NC","TOWN OF SURF CITY","SURF CITY","PENDER"
"3477","Rochester","14208401900000",92943,"General Purpose",2841747,1130000,685741,0,0,338765,676015,0,0,0,11226,2088428,5228,0,1820222,403045,3510833,0,0,0,3913878,FALSE,"1600000US1764759","Rochester village","Illinois",3863,"IL","VILLAGE OF ROCHESTER","ROCHESTER","SANGAMON"
"3478","White Bluff","43202200500000",88035,"General Purpose",2788137,0,63027,0,2704400,0,0,5106,20710,0,0,146122,377581,0,1564507,172421,1915789,0,0,0,2088210,FALSE,"1600000US4779980","White Bluff town","Tennessee",3862,"TN","TOWN OF WHITE BLUFF","WHITE BLUFF","DICKSON"
"3479","West Liberty","16207000600000",113963,"General Purpose",0,9572000,0,0,481595,5971000,839640,0,0,0,98784,9008505,1649356,173139,2670996,1595820,11906176,0,0,0,13501996,FALSE,"1600000US1984315","West Liberty city","Iowa",3858,"IA","CITY OF WEST LIBERTY","WEST LIBERTY","MUSCATINE"
"3480","Juno Beach","10205050900000",69417,"General Purpose",5818514,0,209522,0,0,0,5238308,0,60724,0,309960,911963,115385,63065,4991600,-592021,6674034,0,0,0,6082013,FALSE,"1600000US1235850","Juno Beach town","Florida",3858,"FL","TOWN OF JUNO BEACH","JUNO BEACH","PALM BEACH"
"3481","Emerald Isle","34201670100000",64993,"General Purpose",9817112,0,4190716,0,0,0,2559751,0,0,0,241887,2684619,387828,19858946,7703212,3742410,26892195,0,0,0,30634605,FALSE,"1600000US3721160","Emerald Isle town","North Carolina",3847,"NC","TOWN OF EMERALD ISLE","EMERALD ISLE","CARTERET"
"3482","Glennville","11213200300000",70841,"General Purpose",7279852,5952134,87347,85038,0,646724,307877,0,0,0,58416,2400714,128745,616434,2332595,447895,5030593,0,0,0,5478488,FALSE,"1600000US1333336","Glennville city","Georgia",3834,"GA","CITY OF GLENNVILLE","GLENNVILLE","TATTNALL"
"3483","Unicoi","43208630100000",88020,"General Purpose",1706775,810740,34435,0,0,858674,0,63834,0,0,2926,238284,86583,136702,1426457,154007,1734019,0,0,0,1888026,FALSE,"1600000US4775820","Unicoi town","Tennessee",3833,"TN","TOWN OF UNICOI","UNICOI","UNICOI"
"3484","Boardman","38202500100000",126027,"General Purpose",3877777,3423000,0,0,0,454777,0,0,0,0,0,4956389,0,1021171,3660955,3933658,5704857,0,0,0,9638515,FALSE,"1600000US4107200","Boardman city","Oregon",3828,"OR","CITY OF BOARDMAN","BOARDMAN","MORROW"
"3485","Waukon","16200300600000",113384,"General Purpose",0,11660862,0,1049471,0,289000,668615,0,0,0,146313,2188085,590784,22724,11221012,203914,13818691,0,3102576,0,14022605,FALSE,"1600000US1982740","Waukon city","Iowa",3827,"IA","CITY OF WAUKON","WAUKON","ALLAMAKEE"
"3486","Bishop","05201400100000",101835,"General Purpose",18695772,0,611811,0,0,0,11506615,0,6131274,0,393682,3415662,310445,1268493,6881261,717545,11158316,0,0,0,11875861,FALSE,"1600000US0606798","Bishop city","California",3819,"CA","CITY OF BISHOP","BISHOP","INYO"
"3487","Williamston","23203300800000",81223,"General Purpose",11933702,9292000,254112,302250,98323,0,1365353,0,438935,0,133569,2363008,421796,0,2175184,491412,4468576,0,0,0,4959988,FALSE,"1600000US2687420","Williamston city","Michigan",3819,"MI","CITY OF WILLIAMSTON","WILLIAMSTON","INGHAM"
"3488","Boyne City","23201500100000",104098,"General Purpose",11779669,9505179,457294,0,0,0,1501625,0,127739,0,187823,4633040,938616,1252398,4150546,1765426,9209174,0,0,0,10974600,FALSE,"1600000US2609820","Boyne City city","Michigan",3816,"MI","CITY OF BOYNE CITY","BOYNE CITY","CHARLEVOIX"
"3489","Golf Manor","36203101300000",98280,"General Purpose",0,6406,0,121737,328484,0,0,0,0,0,0,462257,990915,0,2596815,596810,3453177,0,0,0,4049987,FALSE,"1600000US3930786","Golf Manor village","Ohio",3814,"OH","VILLAGE OF GOLF MANOR","CINCINNATI","HAMILTON"
"3490","Fort Gibson","37205100400000",125802,"General Purpose",9700665,0,192273,0,0,8500490,626754,0,0,0,60781,3783442,41557,837177,2425928,1319618,5768486,0,0,0,7088104,FALSE,"1600000US4027200","Fort Gibson town","Oklahoma",3814,"OK","TOWN OF FORT GIBSON","FORT GIBSON","MUSKOGEE"
"3491","St. Joseph","14201001600000",93087,"General Purpose",1735392,1544700,0,83092,107600,0,0,0,0,0,0,859568,0,179602,1517654,411727,2145097,759395,24532,0,2556824,FALSE,"1600000US1766950","St. Joseph village","Illinois",3810,"IL","VILLAGE OF ST JOSEPH","SAINT JOSEPH","CHAMPAIGN"
"3492","Red Bud","14207900900000",73670,"General Purpose",721830,0,0,0,384617,227864,0,0,0,0,0,8240503,61748,0,2645293,416845,10530699,0,0,0,10947544,FALSE,"1600000US1763043","Red Bud city","Illinois",3804,"IL","CITY OF RED BUD","RED BUD","RANDOLPH"
"3493","New Lebanon","36205701000000",98357,"General Purpose",0,0,0,0,4894324,0,0,0,0,0,0,1681392,682380,0,3066314,-4300,5434386,0,0,0,5430086,FALSE,"1600000US3954852","New Lebanon village","Ohio",3796,"OH","VILLAGE OF NEW LEBANON","NEW LEBANON","MONTGOMERY"
"3494","Portland","23203400900000",80323,"General Purpose",13087913,5214872,624353,0,0,0,5632766,0,1070149,0,102878,6820272,580724,0,3380950,258089,10523857,0,0,0,10781946,FALSE,"1600000US2665860","Portland city","Michigan",3796,"MI","CITY OF PORTLAND","PORTLAND","IONIA"
"3495","Carter Lake","16207800300000",114029,"General Purpose",0,2915000,0,0,0,0,399029,0,0,0,0,1663126,550702,0,4825423,1139054,5900197,0,0,0,7039251,FALSE,"1600000US1911215","Carter Lake city","Iowa",3791,"IA","CITY OF CARTER LAKE","CARTER LAKE","POTTAWATTAMIE"
"3496","Gentry","04200400600000",96121,"General Purpose",297,5530000,297,0,0,0,1101835,0,0,0,0,0,1138348,0,3800000,-230103,5168451,0,0,0,4938348,FALSE,"1600000US0526290","Gentry city","Arkansas",3790,"AR","CITY OF GENTRY","GENTRY","BENTON"
"3497","Plainwell","23200300700000",80275,"General Purpose",4790326,3131760,433303,0,0,0,0,0,1115225,0,109483,2130419,977914,374583,1898761,380045,5001632,0,0,0,5381677,FALSE,"1600000US2664740","Plainwell city","Michigan",3788,"MI","CITY OF PLAINWELL","PLAINWELL","ALLEGAN"
"3498","Byron","14207100200000",71478,"General Purpose",6546859,6323476,14857,0,0,208526,1041919,0,0,0,0,1644183,146157,0,3140787,751421,4179706,0,0,0,4931127,FALSE,"1600000US1710240","Byron city","Illinois",3784,"IL","CITY OF BYRON","BYRON","OGLE"
"3499","Montrose","24208601100000",117567,"General Purpose",5474023,4384866,474160,151803,0,0,425677,263963,0,0,37517,2522938,226780,248180,2176053,1897880,3276071,0,0,0,5173951,FALSE,"1600000US2743810","Montrose city","Minnesota",3775,"MN","CITY OF MONTROSE","MONTROSE","WRIGHT"
"3500","Romeo","23205001000000",80476,"General Purpose",11813218,3301948,308364,0,0,0,3979879,0,3910755,0,244519,2268239,709350,5420,3727180,709978,6000211,0,0,0,6710189,FALSE,"1600000US2669400","Romeo village","Michigan",3767,"MI","VILLAGE OF ROMEO","ROMEO","MACOMB"
"3501","Wintersville","36204101900000",98453,"General Purpose",5439770,0,0,0,5439770,0,0,0,0,0,0,2487389,1893820,0,1747883,399078,5730014,0,0,0,6129092,FALSE,"1600000US3986184","Wintersville village","Ohio",3765,"OH","VILLAGE OF WINTERSVILLE","WINTERSVILLE","JEFFERSON"
"3502","Washington","11215700200000",90325,"General Purpose",13205427,0,1577175,255087,0,7345710,3047975,0,0,0,101251,13302225,637386,687824,2339048,681256,16285227,0,0,0,16966483,FALSE,"1600000US1380704","Washington city","Georgia",3754,"GA","CITY OF WASHINGTON","WASHINGTON","WILKES"
"3503","Eldorado","14208300200000",71919,"General Purpose",1190442,0,91923,0,1098519,0,0,0,0,0,0,1752538,155127,0,1900259,41521,3766403,0,0,0,3807924,FALSE,"1600000US1723009","Eldorado city","Illinois",3743,"IL","CITY OF ELDORADO","ELDORADO","SALINE"
"3504","Greenhills","36203101400000",98285,"General Purpose",0,454961,0,288517,0,0,0,0,0,0,0,440406,647517,0,3952337,271123,4769137,0,0,0,5040260,FALSE,"1600000US3932158","Greenhills village","Ohio",3741,"OH","VILLAGE OF GREENHILLS","CINCINNATI","HAMILTON"
"3505","Forsyth","14205850100000",92303,"General Purpose",2494478,0,454664,0,1651360,0,388454,0,0,0,0,1007633,354933,0,5813168,1690499,5485235,0,0,0,7175734,FALSE,"1600000US1727091","Forsyth village","Illinois",3734,"IL","VILLAGE OF FORSYTH","FORSYTH","MACON"
"3506","Albia","16206800100000",113951,"General Purpose",0,1925000,0,0,0,598369,379994,0,0,0,47808,765840,743712,22500,2888906,-657083,5078041,0,0,0,4420958,FALSE,"1600000US1900910","Albia city","Iowa",3721,"IA","CITY OF ALBIA","ALBIA","MONROE"
